Activities by jie.huang,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect
 false,Untitled,Running,--,"Sat, Apr 27, 2013 1:42 PM",45:42:00,3.85,46,11:52,1:04,--,--,96,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Wed, Apr 24, 2013 5:45 PM",9:22,2.83,127,3:18,:58,--,--,530,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Wed, Apr 24, 2013 4:07 PM",22:02,2.46,63,8:58,1:23,--,--,269,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Thu, Apr 18, 2013 8:02 PM",3:25:44,3.3,"2,637",--:--,:29,--,--,406,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Thu, Apr 18, 2013 9:29 AM",23:25,4.13,61,5:40,1:21,--,--,280,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Wed, Apr 17, 2013 8:13 PM",14:01,3.57,24,3:56,1:09,--,--,432,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Wed, Apr 17, 2013 4:17 PM",36:31:00,4.01,171,9:06,1:06,--,--,214,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Tue, Apr 9, 2013 8:33 PM",13:12,3.45,45,3:50,1:23,--,--,112,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Sun, Apr 7, 2013 3:53 PM",6:59,0.18,0,39:23:00,:25,--,--,124,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Fri, Apr 5, 2013 1:47 PM",31:09:00,5.18,71,6:01,1:27,--,--,111,--,--,--,--,--,--,--
 false,Untitled,Running,--,"Fri, Apr 5, 2013 12:19 PM",7:05,1.51,20,4:42,1:33,--,--,93,--,--,--,--,--,--,--
 ,,,,,,,,,,,,,,,,,,,
